"","genre","year","m_popularity","m_danceability","m_energy","m_loudness","m_acousticness","m_tempo","m_duration_ms","m_valence","m_liveness"
"28","edm",2012,35.3235294117647,0.658423529411765,0.783929411764706,-5.26297058823529,0.0615123217647059,126.106152941176,272080.429411765,0.451534117647059,0.206057058823529
"29","edm",2013,19.7827476038339,0.640172523961661,0.826715654952077,-4.86638977635783,0.0349331734824281,126.999434504792,269228.536741214,0.355804792332268,0.208223322683706
"30","edm",2014,20.8049645390071,0.629828014184397,0.851113475177305,-4.55603723404255,0.0349593191489362,128.318868794326,258767.413120567,0.33079414893617,0.216006382978723
"31","edm",2015,26.4329004329004,0.633995670995671,0.81034632034632,-5.0267683982684,0.0681888716450216,125.916593073593,235307.79004329,0.384360173160173,0.20641341991342
"32","edm",2016,30.4196787148594,0.639086345381526,0.799989959839357,-4.98177510040161,0.0750939018072289,124.809542168675,222477.97188755,0.394086345381526,0.213224497991968
"33","edm",2017,33.3724279835391,0.654504115226337,0.778786008230453,-5.48534156378601,0.0931735030864198,123.911592592593,225712.761316872,0.408577983539095,0.187784567901235
"34","edm",2018,36.3337748344371,0.669717880794702,0.791344370860927,-5.89798543046358,0.0989070564635762,124.819778807947,214815.777483444,0.398032582781457,0.20077761589404
"35","edm",2019,43.2602326583369,0.6577638948729,0.805719086600603,-5.53411676001723,0.0961164320163723,125.923323567428,197258.933649289,0.404223825937096,0.223507152089617
"36","edm",2020,40.3152173913044,0.661483695652174,0.748739130434783,-6.27114673913043,0.128388601086957,124.630380434783,194212.14673913,0.386832065217391,0.207614130434783
"37","latin",1965,26,0.579,0.419,-10.72,0.625,104.564,165000,0.673,0.0981
"38","latin",1976,72,0.539,0.884,-6.53,0.382,100.812,230693,0.752,0.76
"39","latin",1979,60.3333333333333,0.791333333333333,0.713,-5.301,0.476666666666667,101.599333333333,209453,0.913,0.132
"40","latin",1981,42,0.854,0.936,-7.073,0.386,115.318,244347,0.247,0.177
"41","latin",1982,60,0.75575,0.5815,-10.0485,0.28988,117.7965,261200,0.81075,0.19475
"42","latin",1983,26,0.7685,0.7605,-14.6285,0.278,114.273,372893.5,0.5885,0.12925
"43","latin",1984,36.5,0.732,0.836,-6.6945,0.129,127.647,228300,0.776,0.06475
"44","latin",1985,35.6666666666667,0.671,0.592666666666667,-9.70616666666667,0.198783333333333,121.702,306397.666666667,0.5285,0.239083333333333
"45","latin",1986,34.4,0.712,0.7856,-7.207,0.17152,122.501,285037.2,0.7618,0.11972
"46","latin",1987,34.5555555555556,0.654,0.675444444444444,-11.6294444444444,0.179208888888889,120.460444444444,241256.333333333,0.789888888888889,0.157355555555556
"47","latin",1988,39.625,0.6733125,0.678375,-11.626,0.0678790625,116.404125,278483.8125,0.6225625,0.150825
"48","latin",1989,45.0909090909091,0.701727272727273,0.593727272727273,-11.6505454545455,0.222498181818182,114.867545454545,277589.545454545,0.735727272727273,0.174245454545455
"49","latin",1990,48.1764705882353,0.656117647058823,0.585117647058824,-10.4617058823529,0.365182352941176,120.572,253279.529411765,0.603941176470588,0.124629411764706
"50","latin",1991,35.9166666666667,0.729333333333333,0.675083333333333,-11.5625833333333,0.118138333333333,115.547833333333,260136.666666667,0.67675,0.179375
"51","latin",1992,57.3333333333333,0.719,0.681,-8.73366666666667,0.0559,119.334333333333,289266.666666667,0.52,0.1973
"52","latin",1993,49.9230769230769,0.708538461538462,0.636153846153846,-9.41230769230769,0.269646153846154,102.314692307692,254427.769230769,0.693769230769231,0.136723076923077
"53","latin",1994,11.3636363636364,0.691545454545455,0.691909090909091,-10.5777272727273,0.0647672727272727,119.98,269257,0.617454545454545,0.127827272727273
"54","latin",1995,42.5,0.704944444444444,0.763111111111111,-7.68011111111111,0.221136944444444,116.693555555556,261918.444444444,0.734,0.133733333333333
"55","latin",1996,17.3846153846154,0.680307692307692,0.771384615384615,-9.14653846153846,0.127109430769231,121.839230769231,202441.153846154,0.658153846153846,0.222438461538462
"56","latin",1997,40.0434782608696,0.688782608695652,0.655173913043478,-8.7535652173913,0.203073695652174,123.976347826087,256091.434782609,0.656130434782609,0.205873913043478
"57","latin",1998,47.3809523809524,0.724428571428571,0.697952380952381,-7.9832380952381,0.277687142857143,121.947333333333,248148.857142857,0.662857142857143,0.252180952380952
