"","genre","subgenre","year","subgenre_mean"
"140","latin","latin pop",1992,57.3333333333333
"141","latin","latin pop",1993,51.6666666666667
"142","latin","latin pop",1994,36.3333333333333
"143","latin","latin pop",1995,45.4
"144","latin","latin pop",1996,22.5
"145","latin","latin pop",1997,36.7142857142857
"146","latin","latin pop",1998,54.4285714285714
"147","latin","latin pop",1999,29.5
"148","latin","latin pop",2000,38.8571428571429
"149","latin","latin pop",2001,49.4
"150","latin","latin pop",2002,51.6
"151","latin","latin pop",2003,44.8888888888889
"152","latin","latin pop",2004,31.1333333333333
"153","latin","latin pop",2005,46.05
"154","latin","latin pop",2006,39.4230769230769
"155","latin","latin pop",2007,42.9230769230769
"156","latin","latin pop",2008,40.45
"157","latin","latin pop",2009,42.0434782608696
"158","latin","latin pop",2010,34.0740740740741
"159","latin","latin pop",2011,39.4210526315789
"160","latin","latin pop",2012,29.2972972972973
"161","latin","latin pop",2013,37.5142857142857
"162","latin","latin pop",2014,40.7608695652174
"163","latin","latin pop",2015,38.4042553191489
"164","latin","latin pop",2016,48.2051282051282
"165","latin","latin pop",2017,49.9824561403509
"166","latin","latin pop",2018,62.8705882352941
"167","latin","latin pop",2019,58.48606271777
"168","latin","latin pop",2020,47.7407407407407
"169","latin","reggaeton",1991,60
"170","latin","reggaeton",1999,51
"171","latin","reggaeton",2002,61
"172","latin","reggaeton",2003,47.875
"173","latin","reggaeton",2004,34.7857142857143
"174","latin","reggaeton",2005,47.6521739130435
"175","latin","reggaeton",2006,34.5333333333333
"176","latin","reggaeton",2007,36.3783783783784
"177","latin","reggaeton",2008,37.0740740740741
"178","latin","reggaeton",2009,37.6923076923077
"179","latin","reggaeton",2010,38.3235294117647
"180","latin","reggaeton",2011,26.15
"181","latin","reggaeton",2012,39.2857142857143
"182","latin","reggaeton",2013,30.8571428571429
"183","latin","reggaeton",2014,29.0555555555556
"184","latin","reggaeton",2015,44.9615384615385
"185","latin","reggaeton",2016,54.1081081081081
"186","latin","reggaeton",2017,59.2926829268293
"187","latin","reggaeton",2018,61.8157894736842
"188","latin","reggaeton",2019,64.7752525252525
"189","latin","reggaeton",2020,54.2307692307692
"190","latin","tropical",1990,61.3333333333333
"191","latin","tropical",1995,59
"192","latin","tropical",1996,64
"193","latin","tropical",1997,46.1428571428571
"194","latin","tropical",1998,58.75
"195","latin","tropical",2000,63
"196","latin","tropical",2001,68
"197","latin","tropical",2002,69
"198","latin","tropical",2004,42.25
"199","latin","tropical",2005,52
"200","latin","tropical",2006,40.6666666666667
"201","latin","tropical",2007,60.3333333333333
"202","latin","tropical",2008,61
"203","latin","tropical",2009,27.5
"204","latin","tropical",2010,43.8333333333333
"205","latin","tropical",2011,52
"206","latin","tropical",2012,62
"207","latin","tropical",2013,54.2352941176471
"208","latin","tropical",2014,47.5757575757576
"209","latin","tropical",2015,41.843137254902
"210","latin","tropical",2016,34.3630136986301
"211","latin","tropical",2017,40.8
"212","latin","tropical",2018,45.390625
"213","latin","tropical",2019,45.0547703180212
"214","latin","tropical",2020,37.8333333333333
"215","pop","dance pop",1990,55
"216","pop","dance pop",1991,12
"217","pop","dance pop",1992,43
"218","pop","dance pop",1993,55.2
"219","pop","dance pop",1994,48.9090909090909
"220","pop","dance pop",1995,40.1111111111111
"221","pop","dance pop",1996,46.5
"222","pop","dance pop",1997,55.6666666666667
"223","pop","dance pop",1998,63
"224","pop","dance pop",1999,28.2857142857143
"225","pop","dance pop",2000,35.4
"226","pop","dance pop",2001,46
"227","pop","dance pop",2002,64
"228","pop","dance pop",2003,63
"229","pop","dance pop",2005,57
"230","pop","dance pop",2006,48.5
"231","pop","dance pop",2007,36.25
"232","pop","dance pop",2008,43.8
"233","pop","dance pop",2009,13.1111111111111
"234","pop","dance pop",2010,47.6842105263158
"235","pop","dance pop",2011,62.3529411764706
"236","pop","dance pop",2012,60.48
"237","pop","dance pop",2013,59.2857142857143
"238","pop","dance pop",2014,58.3333333333333
"239","pop","dance pop",2015,52.7
"240","pop","dance pop",2016,61.5128205128205
"241","pop","dance pop",2017,55.4197530864198
"242","pop","dance pop",2018,47.2543859649123
"243","pop","dance pop",2019,53.7595129375951
"244","pop","dance pop",2020,44.7627118644068
"245","pop","electropop",1975,51
"246","pop","electropop",1978,35.6666666666667
"247","pop","electropop",1979,62
"248","pop","electropop",1980,43
"249","pop","electropop",1981,36.1
"250","pop","electropop",1982,46
"251","pop","electropop",1983,44.0909090909091
"252","pop","electropop",1984,42.7142857142857
"253","pop","electropop",1985,39.5
"254","pop","electropop",1986,32.2222222222222
"255","pop","electropop",1987,38.4444444444444
"256","pop","electropop",1988,51.25
"257","pop","electropop",1989,47.4
"258","pop","electropop",1990,36
"259","pop","electropop",1991,20.6
"260","pop","electropop",1992,39
"261","pop","electropop",1993,68
"262","pop","electropop",1994,35.6666666666667
"263","pop","electropop",1995,40
"264","pop","electropop",1996,42.375
"265","pop","electropop",1997,40.5714285714286
"266","pop","electropop",1998,36
"267","pop","electropop",1999,51.6
